# M_f [M_sun], P(M_f) [M_sun^-1]
3.355426787857400234e-25, 0.000000000000000000e+00
3.911652505143758048e-25, 0.000000000000000000e+00
4.560083199063886726e-25, 0.000000000000000000e+00
5.316003595677380045e-25, 0.000000000000000000e+00
6.197232154680015557e-25, 0.000000000000000000e+00
7.224541083875303900e-25, 0.000000000000000000e+00
8.422145979021678346e-25, 0.000000000000000000e+00
9.818276630783892592e-25, 0.000000000000000000e+00
1.144584245377741764e-24, 0.000000000000000000e+00
1.334320822311494521e-24, 0.000000000000000000e+00
1.555509840401867446e-24, 0.000000000000000000e+00
1.813365139124089360e-24, 0.000000000000000000e+00
2.113964850869085172e-24, 0.000000000000000000e+00
2.464394673909162856e-24, 0.000000000000000000e+00
2.872914895578817388e-24, 0.000000000000000000e+00
3.349155102719898938e-24, 0.000000000000000000e+00
3.904341169081111135e-24, 0.000000000000000000e+00
4.551559870189927640e-24, 0.000000000000000000e+00
5.306067363165150690e-24, 0.000000000000000000e+00
6.185648802917218596e-24, 0.000000000000000000e+00
7.211037571563583870e-24, 0.000000000000000000e+00
8.406404003081794177e-24, 0.000000000000000000e+00
9.799925123355945559e-24, 0.000000000000000000e+00
1.142444883545635492e-23, 0.000000000000000000e+00
1.331826820624366865e-23, 0.000000000000000000e+00
1.552602410568330836e-23, 0.000000000000000000e+00
1.809975747576928262e-23, 0.000000000000000000e+00
2.110013603300706197e-23, 0.000000000000000000e+00
2.459788432013121776e-23, 0.000000000000000000e+00
2.867545081605480075e-23, 0.000000000000000000e+00
3.342895140095494358e-23, 0.000000000000000000e+00
3.897043498760775480e-23, 0.000000000000000000e+00
4.543052472414611801e-23, 0.000000000000000000e+00
5.296149702633689900e-23, 0.000000000000000000e+00
6.174087101793673643e-23, 0.000000000000000000e+00
7.197559298895767048e-23, 0.000000000000000000e+00
8.390691450736218015e-23, 0.000000000000000000e+00
9.781607917041964598e-23, 0.000000000000000000e+00
1.140309520431035390e-22, 0.000000000000000000e+00
1.329337480518106140e-22, 0.000000000000000000e+00
1.549700415061211373e-22, 0.000000000000000000e+00
1.806592691198997314e-22, 0.000000000000000000e+00
2.106069741076194141e-22, 0.000000000000000000e+00
2.455190799721978298e-22, 0.000000000000000000e+00
2.862185304442568804e-22, 0.000000000000000000e+00
3.336646878073451126e-22, 1.757646955824479375e+14
3.889759468639831932e-22, 1.352977557698701875e+14
4.534560975960776476e-22, 1.041430576622598594e+14
5.286250579369789952e-22, 8.016418846244917188e+13
6.162547010841906233e-22, 6.170364495083272656e+13
7.184106218696126315e-22, 4.749374734910954688e+13
8.375008266988809979e-22, 3.655718182083090625e+13
9.763324947728996466e-22, 2.813770605216177734e+13
1.138178148559852146e-21, 2.165786089125048828e+13
1.326852793279672222e-21, 1.666946561370048242e+13
1.546803843723141989e-21, 1.283036257507346289e+13
1.803215958149154218e-21, 9.874951155093082031e+12
2.102133250391486635e-21, 7.600213330794235352e+12
2.450601760943344245e-21, 5.849625513842299805e+12
2.856835545330063135e-21, 4.502030623536175781e+12
3.330410294783934036e-21, 3.464978380734225098e+12
3.882489053223168623e-21, 2.666675808935680176e+12
4.526085351107068555e-21, 2.052352092220120117e+12
5.276369958725133131e-21, 1.579467238720511719e+12
6.151028489669875711e-21, 1.215574513496340820e+12
7.170678283876874558e-21, 9.354684524056495361e+11
8.359354396946227458e-21, 7.199281797219718018e+11
9.745076151424240088e-21, 5.540197896662753906e+11
1.136050760472003545e-20, 4.263576990037947388e+11
1.324372750212316441e-20, 3.280941530669492798e+11
1.543912686415697727e-20, 2.524851622922951050e+11
1.799845536608330213e-20, 1.942890138100592957e+11
2.098204117468286909e-20, 1.495112526076733398e+11
2.446021299614948793e-20, 1.150466513929848633e+11
2.851495785543101578e-20, 8.852941713007240295e+10
3.324185368398067586e-20, 6.812007824421219635e+10
3.875232227063295273e-20, 1.868716006383187750e+15
4.517625568187534888e-20, 1.439131456318512250e+15
5.266507806116157543e-20, 1.108295093096366625e+15
6.139531497961241988e-20, 8.535090198773540000e+14
7.157275447438468443e-20, 6.572923138106172500e+14
8.343729785817758715e-20, 5.061820057129810000e+14
9.726861464254266209e-20, 3.898164728755899375e+14
1.133927348721318637e-19, 3.001952055545658750e+14
1.321897342635523437e-19, 7.134586894664802500e+14
1.541026933019428484e-19, 5.494437308865728125e+14
1.796481414779605106e-19, 1.250344330860407000e+15
2.094282328554104639e-19, 9.862246394983001250e+14
2.441449399704524831e-19, 7.595197441130525000e+14
2.846166006391730325e-19, 1.414586101335028750e+15
3.317972077127720990e-19, 1.089405293803958500e+15
3.867988964760348480e-19, 8.396402152050941250e+14
4.509181597591821492e-19, 6.466202376017698750e+14
5.256664087023966689e-19, 5.454116129784650000e+14
6.128055995474868387e-19, 4.404868950262890625e+14
7.143897662469015009e-19, 3.392182085507659375e+14
8.328134378914969703e-19, 2.612291694878595312e+14
9.708680822465035426e-19, 2.836755981743541250e+14
1.131807905875562876e-18, 3.006534494861946250e+14
1.319426561885035469e-18, 2.899618801317960000e+14
1.538146573433785306e-18, 2.885201509373913125e+14
1.793123580888051368e-18, 2.787660659329790312e+14
2.090367869922119062e-18, 2.935571271734031250e+14
2.436886045209810308e-18, 2.526488171559679062e+14
2.840846189221018720e-18, 2.558891574392742188e+14
3.311770399225516642e-18, 2.132939190229186875e+14
3.860759240961861678e-18, 2.043866018669085000e+14
