# M_f [M_sun], P(M_f) [M_sun^-1]
3.355426787857400234e-25, 0.000000000000000000e+00
3.911652505143758048e-25, 0.000000000000000000e+00
4.560083199063886726e-25, 0.000000000000000000e+00
5.316003595677380045e-25, 0.000000000000000000e+00
6.197232154680015557e-25, 0.000000000000000000e+00
7.224541083875303900e-25, 0.000000000000000000e+00
8.422145979021678346e-25, 0.000000000000000000e+00
9.818276630783892592e-25, 0.000000000000000000e+00
1.144584245377741764e-24, 0.000000000000000000e+00
1.334320822311494521e-24, 0.000000000000000000e+00
1.555509840401867446e-24, 0.000000000000000000e+00
1.813365139124089360e-24, 0.000000000000000000e+00
2.113964850869085172e-24, 0.000000000000000000e+00
2.464394673909162856e-24, 0.000000000000000000e+00
2.872914895578817388e-24, 0.000000000000000000e+00
3.349155102719898938e-24, 0.000000000000000000e+00
3.904341169081111135e-24, 0.000000000000000000e+00
4.551559870189927640e-24, 0.000000000000000000e+00
5.306067363165150690e-24, 0.000000000000000000e+00
6.185648802917218596e-24, 0.000000000000000000e+00
7.211037571563583870e-24, 0.000000000000000000e+00
8.406404003081794177e-24, 0.000000000000000000e+00
9.799925123355945559e-24, 0.000000000000000000e+00
1.142444883545635492e-23, 0.000000000000000000e+00
1.331826820624366865e-23, 0.000000000000000000e+00
1.552602410568330836e-23, 0.000000000000000000e+00
1.809975747576928262e-23, 0.000000000000000000e+00
2.110013603300706197e-23, 0.000000000000000000e+00
2.459788432013121776e-23, 0.000000000000000000e+00
2.867545081605480075e-23, 0.000000000000000000e+00
3.342895140095494358e-23, 0.000000000000000000e+00
3.897043498760775480e-23, 0.000000000000000000e+00
4.543052472414611801e-23, 0.000000000000000000e+00
5.296149702633689900e-23, 0.000000000000000000e+00
6.174087101793673643e-23, 0.000000000000000000e+00
7.197559298895767048e-23, 0.000000000000000000e+00
8.390691450736218015e-23, 0.000000000000000000e+00
9.781607917041964598e-23, 0.000000000000000000e+00
1.140309520431035390e-22, 1.267436924193735504e+10
1.329337480518106140e-22, 2.813903895785554810e+11
1.549700415061211373e-22, 2.162579670528372498e+11
1.806592691198997314e-22, 1.661966516693045349e+11
2.106069741076194141e-22, 1.277196486683173828e+11
2.455190799721978298e-22, 9.814811428889840698e+10
2.862185304442568804e-22, 9.780343695569079590e+10
3.336646878073451126e-22, 7.514896607246725464e+10
3.889759468639831932e-22, 5.774173184658358002e+10
4.534560975960776476e-22, 9.258302807393890381e+10
5.286250579369789952e-22, 3.577675788268776855e+12
6.162547010841906233e-22, 4.446210373949104492e+12
7.184106218696126315e-22, 1.140102413585073242e+13
8.375008266988809979e-22, 8.774091709636778320e+12
9.763324947728996466e-22, 6.748909969153479492e+12
1.138178148559852146e-21, 5.191208019301014648e+12
1.326852793279672222e-21, 3.997332032120000977e+12
1.546803843723141989e-21, 3.536841021795682617e+12
1.803215958149154218e-21, 3.546360679681980469e+12
2.102133250391486635e-21, 1.023062254060262109e+13
2.450601760943344245e-21, 7.878060276610335938e+12
2.856835545330063135e-21, 1.623122567008403906e+13
3.330410294783934036e-21, 1.379517841022666797e+13
3.882489053223168623e-21, 1.076921038389573438e+13
4.526085351107068555e-21, 8.765222215038996094e+12
5.276369958725133131e-21, 6.982511181588985352e+12
6.151028489669875711e-21, 9.148066129999916016e+12
7.170678283876874558e-21, 8.063149628358903320e+12
8.359354396946227458e-21, 7.205719213359005859e+12
9.745076151424240088e-21, 6.684742230257053711e+12
1.136050760472003545e-20, 6.562741831882934570e+12
1.324372750212316441e-20, 5.593773091989644531e+12
1.543912686415697727e-20, 7.014921256396894531e+12
1.799845536608330213e-20, 1.139235073876394141e+13
2.098204117468286909e-20, 1.068157269143399805e+13
2.446021299614948793e-20, 1.011946556710174023e+13
2.851495785543101578e-20, 1.215470677095566406e+13
3.324185368398067586e-20, 2.108663108659042969e+13
3.875232227063295273e-20, 1.753562392267953906e+13
4.517625568187534888e-20, 5.539791340505395000e+14
5.266507806116157543e-20, 4.666884156375863750e+14
6.139531497961241988e-20, 3.772103394354183750e+14
7.157275447438468443e-20, 1.215417502537206500e+15
8.343729785817758715e-20, 9.637734680059310000e+14
9.726861464254266209e-20, 7.682425222062400000e+14
1.133927348721318637e-19, 6.313226137562416250e+14
1.321897342635523437e-19, 5.038258367264470000e+14
1.541026933019428484e-19, 3.951900399694824375e+14
1.796481414779605106e-19, 3.175039450458638750e+14
2.094282328554104639e-19, 3.229676688994771875e+14
2.441449399704524831e-19, 2.643057393072369688e+14
2.846166006391730325e-19, 2.390920177858207500e+14
3.317972077127720990e-19, 2.030114860148464062e+14
3.867988964760348480e-19, 2.456422785124545000e+14
4.509181597591821492e-19, 2.150488576637364062e+14
5.256664087023966689e-19, 2.218296061624955625e+14
6.128055995474868387e-19, 1.977470230989482188e+14
7.143897662469015009e-19, 1.831535830513145000e+14
8.328134378914969703e-19, 1.945966238887072188e+14
9.708680822465035426e-19, 1.680900114316900000e+14
1.131807905875562876e-18, 1.605764499187092188e+14
1.319426561885035469e-18, 1.454711441625589375e+14
1.538146573433785306e-18, 2.259663821560069688e+14
1.793123580888051368e-18, 2.568427674208219062e+14
2.090367869922119062e-18, 2.201370041967001250e+14
2.436886045209810308e-18, 2.082662902021711562e+14
2.840846189221018720e-18, 2.179034263111443125e+14
3.311770399225516642e-18, 2.026622885733953438e+14
3.860759240961861678e-18, 2.047259391610758750e+14
