# Columns: R orbit [pc], surv_prob, MC radial distrib (dGamma/dR [pc^-1 s^-1])
5.284770204694519435e+01, 1.660729149498838605e-04
5.903890782763249945e+01, 1.823005696921738464e-04
6.595542478617888094e+01, 2.019714703021131526e-04
7.368222446502095124e+01, 2.161282179196272776e-04
8.231423297953507756e+01, 2.289466785839405576e-04
9.195749721462016169e+01, 2.499798896438149964e-04
1.027304876433610872e+02, 2.719424411069213949e-04
1.147655537733020736e+02, 2.959165079593004534e-04
1.282105501009355635e+02, 3.096936725861575493e-04
1.432306525497589575e+02, 3.268632212453711897e-04
1.600103877074003265e+02, 3.450445080426691575e-04
1.787558997916165993e+02, 3.686592356136845637e-04
1.996974831955403999e+02, 3.845076303754806253e-04
2.230924117252739336e+02, 3.974632870746059752e-04
2.492280992878862378e+02, 4.159536956648346505e-04
2.784256308598396572e+02, 4.272678144192160405e-04
3.110437071148807604e+02, 4.445006597360068898e-04
3.474830511723650943e+02, 4.622599471734759025e-04
3.881913316042777637e+02, 4.750565239943535089e-04
4.336686621816065781e+02, 4.975509199959258274e-04
4.844737459261492631e+02, 4.938553588697694799e-04
5.412307389493225855e+02, 4.967450528793632570e-04
6.046369184023494654e+02, 4.991987706514954860e-04
6.754712487409561845e+02, 4.870994455259639467e-04
7.546039515437796581e+02, 4.824111486118055599e-04
8.430071964526541706e+02, 4.515479418376586499e-04
9.417670445762749978e+02, 4.268754788920606723e-04
1.052096791085630684e+03, 3.887317691383562648e-04
1.175351870919105522e+03, 3.444750851532244894e-04
1.313046510718427498e+03, 2.985225155483690364e-04
1.466872331569631797e+03, 2.548225200224434896e-04
1.638719131089444090e+03, 2.099302075271692138e-04
1.830698100171417309e+03, 1.631864333801820617e-04
2.045167759616708281e+03, 1.225240591975886929e-04
2.284762935288990320e+03, 8.962376623799744152e-05
2.552427127762217424e+03, 6.231110006106406929e-05
2.851448674132330325e+03, 4.433471475390706102e-05
3.185501146251913724e+03, 3.287924137668029576e-05
3.558688481692563983e+03, 2.633926852530547950e-05
3.975595401882746501e+03, 2.332210620032018980e-05
4.441343736823509971e+03, 2.103349129627781670e-05
4.961655348348546795e+03, 1.941541025710677941e-05
5.542922424960239368e+03, 1.716877438281247091e-05
6.192286011835419231e+03, 1.437524205188274576e-05
6.917723740766163246e+03, 1.103983053941309255e-05
7.728147837824985800e+03, 7.883960048398393634e-06
8.633514612808796301e+03, 5.144574135472085058e-06
9.644946775573191189e+03, 3.029867017613650903e-06
1.077487008195092858e+04, 1.602844224481364001e-06
1.203716598799184794e+04, 7.416015316796112389e-07
1.344734218792855427e+04, 3.017304416924128540e-07
1.502272313097934057e+04, 1.059096874087267254e-07
1.678266285754611454e+04, 3.120858227515666520e-08
1.874878276956548143e+04, 7.476032836670067105e-09
2.094523725609495159e+04, 1.464040141660330828e-09
2.339901043742664478e+04, 2.286828206886520598e-10
2.614024767332138435e+04, 2.756797889966201069e-11
2.920262590804389038e+04, 2.444333239362928472e-12
3.262376740200186396e+04, 1.570183462964434055e-13
3.644570193280985404e+04, 7.021081022480576967e-15
4.071538314406054269e+04, 2.103409869806437367e-16
4.548526538530696416e+04, 3.961063935733669404e-18
5.081394812991248909e+04, 4.576321156687131078e-20
5.676689588764085056e+04, 2.893061270408640214e-22
